"","X.x","geo","Month","Year","DMA","STATE","count","avg_hits_prev_month.x","avg_hits_next_month.x","avg_hits_prev_month.y","avg_hits_next_month.y","code","X.y","avg_index_2019","num_lib_2019","avg_revenue_2019","avg_expenses_2019","std_avg_index_2019","avg_index_2021","num_lib_2021","avg_revenue_2021","avg_expenses_2021","std_avg_index_2021","avg_hits_next_month","avg_hits_prev_month"
"1",1,"US-AR-693",10,2022,"LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ","AR ",2,0,14.5,69.25,55,693,56,193189.75,1,3161301,2449489,-0.314454579439709,118050.825,1,3733580,2662160,-0.381540706519812,69.5,69.25
"2",2,"US-CA-803",9,2022,"LOS ANGELES (CA)                                                     ","CA ",1,83.25,72,85.75,85.4,803,67,541862.518020833,36,14964203.8611111,14248935.6388889,0.14590588939394,450970.130465278,36,14774501.0555556,13705136.4722222,0.238457603005744,157.4,169
"3",3,"US-CO-752",5,2023,"COLORADO SPRINGS (CO) - PUEBLO (CO)                                  ","CO ",3,20.8,32.75,87.4,82.75,752,61,1699943.350875,2,16935968,17253462.5,1.67494596380592,1145421.22095833,2,18647593,18115605,1.53173947367449,115.5,108.2
"4",4,"US-FL-530",3,2023,"TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ","FL ",20,22.25,14.4,86.75,72.2,530,13,NA,2,NA,NA,NA,NA,2,NA,NA,NA,86.6,109
"5",5,"US-FL-534",1,2023,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",16,58.75,59.5,66.25,90.5,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,150,125
"6",6,"US-FL-534",10,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",19,75,60.75,87,77.25,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,138,162
"7",7,"US-FL-534",11,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,67.8,58.75,88.8,66.25,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,125,156.6
"8",8,"US-FL-534",12,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",2,60.75,78.4,77.25,85.4,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,163.8,138
"9",9,"US-FL-534",3,2022,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",20,63.75,58.75,83,80.75,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,139.5,146.75
"10",10,"US-FL-534",3,2023,"ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL)                   ","FL ",19,59.5,63,90.5,79.2,534,14,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774,142.2,150
